ORDERKEY;PRODUCTKEY;QUANTITY;CATALOGPRICE;DISCOUNTAMOUNT;DISCOUNTPCTG;TRANSACTIONPRICE
SO66039;535;1;24,99;5,25;21;19,74
SO66040;528;1;4,99;0,75;15;4,24
SO66040;535;2;24,99;2,5;10;22,49
SO66040;484;3;7,95;0,72;9;7,23
SO66040;486;1;159;6,36;4;152,64
SO66041;528;2;4,99;0,5;10;4,49
SO66041;536;1;29,99;6,6;22;23,39
SO66041;214;2;34,99;3,85;11;31,14
SO66042;478;2;9,99;1,3;13;8,69
SO66042;477;1;4,99;0,9;18;4,09
SO66043;474;2;69,99;0,7;1;69,29
SO66043;482;1;8,99;1,8;20;7,19
SO66044;477;1;4,99;1,25;25;3,74
SO66045;535;2;24,99;1,5;6;23,49
SO66045;465;3;24,49;5,39;22;19,1
SO66046;535;3;24,99;1,25;5;23,74
SO66046;528;3;4,99;0,2;4;4,79
SO66047;225;1;8,99;1,08;12;7,91
SO66047;477;2;4,99;0,15;3;4,84
SO66048;528;3;4,99;0,25;5;4,74
SO66048;537;2;35;0,35;1;34,65
SO66048;214;2;34,99;3,15;9;31,84
SO66049;485;2;21,98;4,18;19;17,8
SO66049;487;3;54,99;5,5;10;49,49
SO66050;355;2;2319,99;208,8;9;2111,19
SO66050;485;3;21,98;2,42;11;19,56
SO66050;217;2;34,99;5,95;17;29,04
SO66050;234;3;49,99;3;6;46,99
SO66051;361;3;2294,99;481,95;21;1813,04
SO66051;528;3;4,99;0,4;8;4,59
SO66051;537;2;35;7,35;21;27,65
SO66052;357;2;2319,99;556,8;24;1763,19
SO66052;477;2;4,99;1,1;22;3,89
SO66052;478;3;9,99;1,9;19;8,09
SO66053;363;3;2294,99;183,6;8;2111,39
SO66053;485;2;21,98;1,76;8;20,22
SO66053;484;2;7,95;1,19;15;6,76
SO66054;355;1;2319,99;162,4;7;2157,59
SO66054;480;3;2,29;0,05;2;2,24
SO66055;355;1;2319,99;417,6;18;1902,39
SO66055;485;2;21,98;3,52;16;18,46
SO66055;237;2;49,99;4;8;45,99
SO66056;359;2;2294,99;413,1;18;1881,89
SO66056;528;2;4,99;0,95;19;4,04
SO66056;537;3;35;8,05;23;26,95
SO66057;569;3;742,35;155,89;21;586,46
SO66057;481;3;8,99;0,72;8;8,27
SO66058;562;1;2384,07;524,5;22;1859,57
SO66059;580;3;1700,99;85,05;5;1615,94
SO66059;217;1;34,99;5,6;16;29,39
SO66060;388;1;1120,49;112,05;10;1008,44
SO66060;477;2;4,99;0,1;2;4,89
SO66060;479;3;8,99;2,16;24;6,83
SO66060;222;2;34,99;2,8;8;32,19
SO66061;353;2;2319,99;69,6;3;2250,39
SO66061;485;3;21,98;1,1;5;20,88
SO66061;478;2;9,99;1,1;11;8,89
SO66062;363;2;2294,99;459;20;1835,99
SO66062;537;2;35;7,7;22;27,3
SO66063;353;2;2319,99;162,4;7;2157,59
SO66063;528;3;4,99;0,75;15;4,24
SO66063;537;2;35;8,05;23;26,95
SO66063;480;2;2,29;0,44;19;1,85
SO66063;483;1;120;12;10;108
SO66064;361;2;2294,99;91,8;4;2203,19
SO66064;485;3;21,98;4,4;20;17,58
SO66064;478;2;9,99;2,2;22;7,79
SO66065;572;3;742,35;51,96;7;690,39
SO66065;214;2;34,99;3,15;9;31,84
SO66066;575;2;2384,07;143,04;6;2241,03
SO66066;479;3;8,99;0,63;7;8,36
SO66066;225;3;8,99;0,99;11;8
SO66066;477;2;4,99;0,45;9;4,54
SO66067;563;2;2384,07;286,09;12;2097,98
SO66067;481;1;8,99;1,98;22;7,01
SO66068;577;1;1214,85;194,38;16;1020,47
SO66068;541;3;28,99;4,64;16;24,35
SO66068;530;2;4,99;0,8;16;4,19
SO66068;222;1;34,99;7,35;21;27,64
SO66069;388;2;1120,49;190,48;17;930,01
SO66069;479;1;8,99;1,35;15;7,64
SO66069;477;1;4,99;0,15;3;4,84
SO66069;490;3;53,99;9,18;17;44,81
SO66070;388;2;1120,49;22,41;2;1098,08
SO66070;222;2;34,99;2,1;6;32,89
SO66071;581;3;1700,99;153,09;9;1547,9
SO66071;234;1;49,99;8,5;17;41,49
SO66072;382;2;1120,49;44,82;4;1075,67
SO66072;491;3;53,99;2,7;5;51,29
SO66073;581;2;1700,99;323,19;19;1377,8
SO66073;237;2;49,99;4;8;45,99
SO66074;605;1;539,99;70,2;13;469,79
SO66074;479;3;8,99;0,99;11;8
SO66074;477;2;4,99;0,65;13;4,34
SO66074;484;2;7,95;0,48;6;7,47
SO66075;574;3;2384,07;429,13;18;1954,94
SO66075;214;3;34,99;6,3;18;28,69
SO66076;563;2;2384,07;452,97;19;1931,1
SO66076;477;3;4,99;0,45;9;4,54
SO66076;479;2;8,99;0,27;3;8,72
SO66076;222;2;34,99;5,25;15;29,74
SO66077;566;3;742,35;59,39;8;682,96
SO66078;561;2;2384,07;452,97;19;1931,1
SO66078;541;2;28,99;4,93;17;24,06
SO66078;530;3;4,99;1,15;23;3,84
SO66078;465;2;24,49;4,41;18;20,08
SO66078;491;1;53,99;6,48;12;47,51
SO66079;582;1;1700,99;374,22;22;1326,77
SO66079;529;1;3,99;0,56;14;3,43
SO66079;539;2;24,99;4,25;17;20,74
SO66079;217;3;34,99;3,15;9;31,84
SO66080;483;3;120;20,4;17;99,6
SO66081;538;3;21,49;1,5;7;19,99
SO66081;480;1;2,29;0,07;3;2,22
SO66082;528;3;4,99;0,2;4;4,79
SO66082;214;1;34,99;4,55;13;30,44
SO66083;477;2;4,99;0,25;5;4,74
SO66084;477;1;4,99;0,2;4;4,79
SO66084;491;1;53,99;10,26;19;43,73
SO66085;537;1;35;4,9;14;30,1
SO66085;528;2;4,99;1,05;21;3,94
SO66085;486;1;159;34,98;22;124,02
SO66086;477;2;4,99;0,1;2;4,89
SO66086;478;2;9,99;2,4;24;7,59
SO66086;487;2;54,99;11,55;21;43,44
SO66087;529;2;3,99;0,8;20;3,19
SO66087;480;2;2,29;0,14;6;2,15
SO66088;541;2;28,99;3,48;12;25,51
SO66089;540;3;32,6;7,17;22;25,43
SO66089;483;2;120;16,8;14;103,2
SO66090;355;3;2319,99;533,6;23;1786,39
SO66090;528;1;4,99;0,7;14;4,29
SO66090;537;1;35;4,2;12;30,8
SO66090;480;3;2,29;0,14;6;2,15
SO66091;359;1;2294,99;206,55;9;2088,44
SO66091;214;2;34,99;3,5;10;31,49
SO66092;363;2;2294,99;459;20;1835,99
SO66092;225;2;8,99;1,17;13;7,82
SO66092;214;2;34,99;3,15;9;31,84
SO66093;361;2;2294,99;137,7;6;2157,29
SO66093;487;1;54,99;7,15;13;47,84
SO66094;589;3;769,49;130,81;17;638,68
SO66094;536;2;29,99;6,9;23;23,09
SO66094;528;3;4,99;0,7;14;4,29
SO66094;480;1;2,29;0,27;12;2,02
SO66095;588;2;769,49;176,98;23;592,51
SO66095;528;2;4,99;0,45;9;4,54
SO66095;536;1;29,99;3,3;11;26,69
SO66095;480;2;2,29;0,05;2;2,24
SO66096;228;1;49,99;10,5;21;39,49
SO66097;530;2;4,99;1,25;25;3,74
SO66097;480;2;2,29;0,39;17;1,9
SO66098;529;2;3,99;0,96;24;3,03
SO66098;214;2;34,99;0,7;2;34,29
SO66098;231;2;49,99;5;10;44,99
SO66098;482;2;8,99;2,07;23;6,92
SO66099;541;2;28,99;2,03;7;26,96
SO66099;530;1;4,99;0,3;6;4,69
SO66099;222;3;34,99;1,4;4;33,59
SO66099;237;1;49,99;2;4;47,99
SO66099;225;3;8,99;1,17;13;7,82
SO66100;541;1;28,99;6,67;23;22,32
SO66100;530;2;4,99;0,65;13;4,34
SO66100;217;3;34,99;5,95;17;29,04
SO66100;482;3;8,99;1,35;15;7,64
SO66101;541;2;28,99;5,51;19;23,48
SO66101;530;2;4,99;1,2;24;3,79
SO66101;467;3;24,49;4,65;19;19,84
SO66102;529;2;3,99;0,2;5;3,79
SO66102;538;2;21,49;4,73;22;16,76
SO66102;487;2;54,99;8,8;16;46,19
SO66102;465;2;24,49;2,69;11;21,8
SO66102;228;2;49,99;10,5;21;39,49
SO66103;541;1;28,99;4,06;14;24,93
SO66103;530;2;4,99;0,25;5;4,74
SO66103;487;2;54,99;3,3;6;51,69
SO66104;536;2;29,99;1,5;5;28,49
SO66105;536;2;29,99;0,9;3;29,09
SO66105;528;2;4,99;0,2;4;4,79
SO66105;222;2;34,99;4,2;12;30,79
SO66106;536;2;29,99;5,1;17;24,89
SO66106;480;3;2,29;0,5;22;1,79
SO66106;484;2;7,95;1,19;15;6,76
SO66107;536;2;29,99;6,3;21;23,69
SO66107;528;2;4,99;1,1;22;3,89
SO66108;477;1;4,99;0,25;5;4,74
SO66108;478;3;9,99;1,4;14;8,59
SO66109;476;2;69,99;11,2;16;58,79
SO66109;237;2;49,99;3;6;46,99
SO66109;467;2;24,49;1,22;5;23,27
SO66110;477;2;4,99;0,45;9;4,54
SO66110;228;3;49,99;5;10;44,99
SO66111;528;3;4,99;0,15;3;4,84
SO66111;480;3;2,29;0,46;20;1,83
SO66112;528;1;4,99;0,35;7;4,64
SO66112;222;1;34,99;8,75;25;26,24
SO66113;485;3;21,98;2,64;12;19,34
SO66113;481;3;8,99;1,53;17;7,46
SO66114;528;1;4,99;0,2;4;4,79
SO66114;217;2;34,99;1,75;5;33,24
SO66115;485;2;21,98;1,32;6;20,66
SO66115;482;2;8,99;0,54;6;8,45
SO66116;477;2;4,99;0,2;4;4,79
SO66116;225;3;8,99;1,89;21;7,1
SO66117;529;2;3,99;0,2;5;3,79
SO66117;539;1;24,99;0,75;3;24,24
SO66117;484;2;7,95;0,56;7;7,39
SO66118;529;3;3,99;0,32;8;3,67
SO66118;217;3;34,99;5,6;16;29,39
SO66118;225;2;8,99;0,99;11;8
SO66119;528;3;4,99;1,1;22;3,89
SO66119;536;3;29,99;2,4;8;27,59
SO66119;482;2;8,99;1,89;21;7,1
SO66120;465;3;24,49;5,88;24;18,61
SO66120;529;2;3,99;0,84;21;3,15
SO66121;536;3;29,99;7,5;25;22,49
SO66121;480;2;2,29;0,09;4;2,2
SO66122;541;2;28,99;2,61;9;26,38
SO66122;530;2;4,99;0,9;18;4,09
SO66122;487;1;54,99;2,2;4;52,79
SO66123;541;2;28,99;0,87;3;28,12
SO66124;541;3;28,99;4,35;15;24,64
SO66124;530;2;4,99;0,1;2;4,89
SO66124;480;2;2,29;0,34;15;1,95
SO66125;530;1;4,99;0,55;11;4,44
SO66125;480;1;2,29;0,05;2;2,24
SO66126;537;3;35;1,05;3;33,95
SO66126;528;2;4,99;0,05;1;4,94
SO66127;537;1;35;4,55;13;30,45
SO66127;485;1;21,98;2,42;11;19,56
SO66128;485;3;21,98;3,52;16;18,46
SO66128;217;3;34,99;7;20;27,99
SO66129;599;2;539,99;81;15;458,99
SO66129;528;2;4,99;1,2;24;3,79
SO66129;535;3;24,99;0,75;3;24,24
SO66129;480;2;2,29;0,05;2;2,24
SO66130;359;2;2294,99;321,3;14;1973,69
SO66130;485;1;21,98;1,98;9;20
SO66130;472;3;63,5;1,91;3;61,59
SO66131;353;3;2319,99;278,4;12;2041,59
SO66131;483;2;120;26,4;22;93,6
SO66132;355;3;2319,99;394,4;17;1925,59
SO66132;478;3;9,99;0,7;7;9,29
SO66132;477;1;4,99;0,6;12;4,39
SO66132;487;2;54,99;7,7;14;47,29
SO66133;571;2;742,35;74,24;10;668,11
SO66133;214;2;34,99;1,05;3;33,94
SO66134;384;3;1120,49;168,07;15;952,42
SO66134;222;2;34,99;3,15;9;31,84
SO66135;584;2;539,99;59,4;11;480,59
SO66136;606;1;539,99;97,2;18;442,79
SO66136;217;2;34,99;7,35;21;27,64
SO66137;359;3;2294,99;68,85;3;2226,14
SO66137;485;2;21,98;5,06;23;16,92
SO66137;478;1;9,99;0,9;9;9,09
SO66138;378;2;2443,35;195,47;8;2247,88
SO66138;479;2;8,99;0,45;5;8,54
SO66138;477;1;4,99;1,05;21;3,94
SO66139;372;3;2443,35;537,54;22;1905,81
SO66139;540;1;32,6;7,82;24;24,78
SO66140;353;1;2319,99;139,2;6;2180,79
SO66141;573;2;2384,07;166,88;7;2217,19
SO66141;477;1;4,99;0,5;10;4,49
SO66141;479;2;8,99;0,99;11;8
SO66141;480;3;2,29;0,3;13;1,99
SO66142;576;3;2384,07;47,68;2;2336,39
SO66142;477;3;4,99;0,65;13;4,34
SO66142;479;2;8,99;0,63;7;8,36
SO66142;214;3;34,99;3,15;9;31,84
SO66143;577;2;1214,85;36,45;3;1178,4
SO66143;225;2;8,99;1,08;12;7,91
SO66144;562;2;2384,07;47,68;2;2336,39
SO66145;606;2;539,99;113,4;21;426,59
SO66145;477;1;4,99;0,25;5;4,74
SO66145;479;3;8,99;0,45;5;8,54
SO66145;487;2;54,99;11,55;21;43,44
SO66146;384;2;1120,49;235,3;21;885,19
SO66146;217;2;34,99;2,45;7;32,54
SO66147;390;1;1120,49;78,43;7;1042,06
SO66147;539;1;24,99;5,25;21;19,74
SO66147;480;2;2,29;0,09;4;2,2
SO66148;384;3;1120,49;11,2;1;1109,29
SO66148;479;3;8,99;1,71;19;7,28
SO66148;477;2;4,99;0,5;10;4,49
SO66148;487;2;54,99;9,35;17;45,64
SO66148;484;3;7,95;0,95;12;7
SO66149;382;2;1120,49;280,12;25;840,37
SO66149;231;1;49,99;11;22;38,99
SO66149;225;1;8,99;1,26;14;7,73
SO66150;575;2;2384,07;71,52;3;2312,55
SO66150;541;2;28,99;1,74;6;27,25
SO66150;530;1;4,99;0,5;10;4,49
SO66150;217;2;34,99;4,2;12;30,79
SO66151;562;2;2384,07;548,34;23;1835,73
SO66152;576;3;2384,07;333,77;14;2050,3
SO66152;541;1;28,99;4,35;15;24,64
SO66153;225;2;8,99;1,26;14;7,73
SO66153;561;1;2384,07;286,09;12;2097,98
SO66154;357;1;2319,99;162,4;7;2157,59
SO66154;537;2;35;2,1;6;32,9
SO66154;225;2;8,99;0,36;4;8,63
SO66154;222;2;34,99;2,45;7;32,54
SO66155;237;1;49,99;7,5;15;42,49
SO66155;225;2;8,99;1,26;14;7,73
SO66156;234;2;49,99;2;4;47,99
SO66157;214;2;34,99;5,6;16;29,39
SO66158;535;2;24,99;3,25;13;21,74
SO66158;528;1;4,99;1,2;24;3,79
SO66158;214;2;34,99;2,1;6;32,89
SO66159;528;3;4,99;0,75;15;4,24
SO66159;217;2;34,99;5,25;15;29,74
SO66160;530;3;4,99;1,2;24;3,79
SO66160;463;1;24,49;5,88;24;18,61
SO66160;488;3;53,99;7,56;14;46,43
SO66161;361;2;2294,99;275,4;12;2019,59
SO66161;485;1;21,98;3,08;14;18,9
SO66161;477;2;4,99;0,15;3;4,84
SO66161;478;2;9,99;1,8;18;8,19
SO66162;589;3;769,49;184,68;24;584,81
SO66162;228;3;49,99;9,5;19;40,49
SO66163;529;2;3,99;0,64;16;3,35
SO66163;539;2;24,99;1,5;6;23,49
SO66163;480;1;2,29;0,18;8;2,11
SO66164;535;2;24,99;6,25;25;18,74
SO66164;214;3;34,99;8,75;25;26,24
SO66165;478;1;9,99;1,3;13;8,69
SO66165;477;3;4,99;0,55;11;4,44
SO66165;483;1;120;22,8;19;97,2
SO66166;478;1;9,99;1,5;15;8,49
SO66166;477;3;4,99;0,55;11;4,44
SO66167;474;1;69,99;14;20;55,99
SO66167;234;1;49,99;1,5;3;48,49
SO66167;465;1;24,49;4,16;17;20,33
SO66168;482;2;8,99;0,63;7;8,36
SO66168;475;2;69,99;3,5;5;66,49
SO66169;477;2;4,99;0,15;3;4,84
SO66170;476;3;69,99;8,4;12;61,59
SO66170;490;3;53,99;4,86;9;49,13
SO66171;477;3;4,99;0,65;13;4,34
SO66172;528;3;4,99;1,2;24;3,79
SO66172;485;3;21,98;5,28;24;16,7
SO66172;222;1;34,99;1,4;4;33,59
SO66173;477;3;4,99;0,35;7;4,64
SO66173;490;2;53,99;10,26;19;43,73
SO66174;485;2;21,98;1,1;5;20,88
SO66174;222;1;34,99;7,7;22;27,29
SO66175;485;2;21,98;0,22;1;21,76
SO66175;217;3;34,99;7;20;27,99
SO66176;529;2;3,99;0,92;23;3,07
SO66176;539;2;24,99;3;12;21,99
SO66176;489;2;53,99;3,78;7;50,21
SO66177;477;1;4,99;0,8;16;4,19
SO66177;490;2;53,99;11,34;21;42,65
SO66178;529;3;3,99;0,76;19;3,23
SO66178;538;3;21,49;0,86;4;20,63
SO66178;480;2;2,29;0,05;2;2,24
SO66178;483;2;120;26,4;22;93,6
SO66179;541;2;28,99;6,96;24;22,03
SO66179;530;1;4,99;0,45;9;4,54
SO66179;214;3;34,99;7,7;22;27,29
SO66180;530;3;4,99;0,65;13;4,34
SO66180;480;1;2,29;0,09;4;2,2
SO66181;537;1;35;4,55;13;30,45
SO66181;528;3;4,99;0,2;4;4,79
SO66181;222;2;34,99;2,45;7;32,54
SO66182;537;3;35;3,5;10;31,5
SO66183;537;2;35;0,7;2;34,3
SO66183;528;2;4,99;0,55;11;4,44
SO66183;217;3;34,99;7,7;22;27,29
SO66184;485;3;21,98;4,4;20;17,58
SO66184;480;2;2,29;0,57;25;1,72
SO66185;593;3;564,99;33,9;6;531,09
SO66185;477;1;4,99;0,9;18;4,09
SO66185;478;3;9,99;1,9;19;8,09
SO66186;363;2;2294,99;390,15;17;1904,84
SO66186;485;2;21,98;0,88;4;21,1
SO66186;217;2;34,99;5,25;15;29,74
SO66187;359;2;2294,99;390,15;17;1904,84
SO66187;485;3;21,98;5,28;24;16,7
SO66187;478;2;9,99;2,1;21;7,89
SO66187;477;1;4,99;0,75;15;4,24
SO66188;359;1;2294,99;390,15;17;1904,84
SO66188;537;1;35;2,8;8;32,2
SO66188;528;2;4,99;0,5;10;4,49
SO66188;485;3;21,98;2,42;11;19,56
SO66188;480;2;2,29;0,23;10;2,06
SO66188;486;2;159;27,03;17;131,97
SO66189;353;1;2319,99;510,4;22;1809,59
SO66189;528;1;4,99;1,2;24;3,79
SO66189;537;3;35;4,9;14;30,1
SO66189;478;1;9,99;1,4;14;8,59
SO66189;477;2;4,99;1;20;3,99
SO66189;225;3;8,99;0,9;10;8,09
SO66190;363;1;2294,99;298,35;13;1996,64
SO66190;485;1;21,98;1,98;9;20
SO66190;478;1;9,99;2,3;23;7,69
SO66191;580;2;1700,99;425,25;25;1275,74
SO66192;583;2;1700,99;238,14;14;1462,85
SO66192;488;2;53,99;4,32;8;49,67
SO66192;465;2;24,49;5,14;21;19,35
SO66193;606;1;539,99;75,6;14;464,39
SO66193;471;1;63,5;11,43;18;52,07
SO66194;599;2;539,99;108;20;431,99
SO66195;568;1;742,35;118,78;16;623,57
SO66195;479;2;8,99;1,08;12;7,91
SO66195;477;1;4,99;1,15;23;3,84
SO66195;487;2;54,99;13,75;25;41,24
SO66196;564;2;2384,07;548,34;23;1835,73
SO66196;541;3;28,99;1,16;4;27,83
SO66196;530;1;4,99;0,25;5;4,74
SO66196;480;2;2,29;0,41;18;1,88
SO66197;562;2;2384,07;166,88;7;2217,19
SO66197;225;2;8,99;0,45;5;8,54
SO66198;382;3;1120,49;168,07;15;952,42
SO66199;581;3;1700,99;306,18;18;1394,81
SO66199;479;2;8,99;0,81;9;8,18
SO66199;477;2;4,99;0,05;1;4,94
SO66199;225;2;8,99;1,17;13;7,82
SO66200;384;2;1120,49;78,43;7;1042,06
SO66201;384;2;1120,49;100,84;9;1019,65
SO66202;582;3;1700,99;102,06;6;1598,93
SO66202;217;2;34,99;4,9;14;30,09
SO66203;584;2;539,99;113,4;21;426,59
SO66203;479;3;8,99;1,08;12;7,91
SO66203;477;1;4,99;0,75;15;4,24
SO66203;222;2;34,99;7,7;22;27,29
SO66204;584;3;539,99;118,8;22;421,19
SO66204;214;1;34,99;4,9;14;30,09
SO66205;579;2;1214,85;24,3;2;1190,55
SO66205;477;2;4,99;0,4;8;4,59
SO66205;479;2;8,99;1,71;19;7,28
SO66205;480;3;2,29;0,02;1;2,27
SO66205;484;2;7,95;0,95;12;7
SO66206;578;2;1214,85;255,12;21;959,73
SO66206;530;2;4,99;1,25;25;3,74
SO66206;541;2;28,99;5,8;20;23,19
SO66206;214;2;34,99;5,25;15;29,74
SO66206;481;2;8,99;2,07;23;6,92
SO66207;528;2;4,99;0,2;4;4,79
SO66207;536;2;29,99;4,2;14;25,79
SO66207;480;3;2,29;0,37;16;1,92
SO66208;214;2;34,99;8,4;24;26,59
SO66209;225;2;8,99;1,89;21;7,1
SO66209;491;3;53,99;3,78;7;50,21
SO66210;540;1;32,6;4,89;15;27,71
SO66210;529;3;3,99;0,8;20;3,19
SO66210;222;3;34,99;3,15;9;31,84
SO66211;361;2;2294,99;206,55;9;2088,44
SO66211;537;2;35;7,35;21;27,65
SO66211;480;2;2,29;0,34;15;1,95
SO66212;217;3;34,99;1,4;4;33,59
SO66213;489;1;53,99;7,02;13;46,97
SO66214;529;1;3,99;0,44;11;3,55
SO66214;217;3;34,99;4,55;13;30,44
SO66215;539;3;24,99;5,25;21;19,74
SO66215;529;1;3,99;0,52;13;3,47
SO66215;217;2;34,99;7;20;27,99
SO66216;530;1;4,99;0,15;3;4,84
SO66216;222;2;34,99;7;20;27,99
SO66216;467;1;24,49;3,67;15;20,82
SO66217;530;1;4,99;0,25;5;4,74
SO66217;480;2;2,29;0,16;7;2,13
SO66217;484;2;7,95;1,27;16;6,68
SO66218;540;1;32,6;0,65;2;31,95
SO66218;529;2;3,99;0,08;2;3,91
SO66218;471;2;63,5;5,72;9;57,78
SO66219;535;1;24,99;6;24;18,99
SO66219;528;1;4,99;1,2;24;3,79
SO66219;480;1;2,29;0,18;8;2,11
SO66220;529;2;3,99;0,6;15;3,39
SO66220;225;2;8,99;2,16;24;6,83
SO64972;231;2;49,99;9,5;19;40,49
SO64973;528;2;4,99;1,25;25;3,74
SO64973;536;3;29,99;4,5;15;25,49
SO64973;482;1;8,99;1,35;15;7,64
SO64974;477;3;4,99;0,95;19;4,04
SO64974;478;3;9,99;2,4;24;7,59
SO64974;484;3;7,95;0,32;4;7,63
SO64975;528;2;4,99;0,5;10;4,49
SO64975;536;2;29,99;4,5;15;25,49
SO64975;214;2;34,99;2,8;8;32,19
SO64976;478;3;9,99;0,7;7;9,29
SO64976;477;3;4,99;0,2;4;4,79
SO64976;480;2;2,29;0,44;19;1,85
SO64977;475;1;69,99;11,9;17;58,09
SO64977;228;2;49,99;3;6;46,99
SO64978;476;3;69,99;17,5;25;52,49
SO64978;234;2;49,99;5,5;11;44,49
SO64978;225;1;8,99;1,17;13;7,82
SO64979;528;3;4,99;0,65;13;4,34
SO64979;485;1;21,98;0,44;2;21,54
SO64979;228;3;49,99;5,5;11;44,49
SO64979;465;1;24,49;2,2;9;22,29
SO64980;528;2;4,99;1,25;25;3,74
SO64980;214;2;34,99;5,25;15;29,74
SO64980;237;2;49,99;6,5;13;43,49
SO64981;528;2;4,99;0,35;7;4,64
SO64982;528;3;4,99;0,55;11;4,44
SO64982;480;1;2,29;0,16;7;2,13
SO64983;528;2;4,99;0,6;12;4,39
SO64983;480;2;2,29;0,32;14;1,97
SO64983;486;3;159;36,57;23;122,43
SO64984;528;2;4,99;0,35;7;4,64
SO64984;480;1;2,29;0,09;4;2,2
SO64985;485;2;21,98;3,74;17;18,24
SO64985;217;2;34,99;8,4;24;26,59
SO64986;528;2;4,99;0,45;9;4,54
SO64987;539;3;24,99;3,25;13;21,74
SO64987;529;2;3,99;0,28;7;3,71
SO64987;214;1;34,99;1,4;4;33,59
SO64988;536;2;29,99;0,6;2;29,39
SO64988;528;1;4,99;0,85;17;4,14
SO64988;222;3;34,99;4,2;12;30,79
SO64988;225;2;8,99;1,98;22;7,01
SO64989;477;1;4,99;1,05;21;3,94
SO64989;217;3;34,99;7;20;27,99
SO64990;539;1;24,99;3,75;15;21,24
SO64990;529;2;3,99;0,8;20;3,19
SO64990;491;2;53,99;12,96;24;41,03
SO64991;529;2;3,99;0,52;13;3,47
SO64991;539;3;24,99;0,75;3;24,24
SO64991;222;3;34,99;6,65;19;28,34
SO64991;231;3;49,99;7;14;42,99
SO64992;541;3;28,99;1,74;6;27,25
SO64992;530;2;4,99;0,1;2;4,89
SO64993;538;2;21,49;4,3;20;17,19
SO64993;529;2;3,99;0,76;19;3,23
SO64993;214;1;34,99;5,25;15;29,74
SO64994;537;1;35;3,85;11;31,15
SO64994;485;3;21,98;4,4;20;17,58
SO64994;480;1;2,29;0,02;1;2,27
SO64995;485;3;21,98;3,08;14;18,9
SO64996;537;1;35;0,7;2;34,3
SO64996;528;3;4,99;0,9;18;4,09
SO64996;217;2;34,99;4,9;14;30,09
SO64997;485;1;21,98;3,3;15;18,68
SO64998;359;2;2294,99;114,75;5;2180,24
SO64998;537;3;35;5,6;16;29,4
SO64999;353;2;2319,99;162,4;7;2157,59
SO64999;485;3;21,98;2,64;12;19,34
SO64999;487;2;54,99;2,75;5;52,24
SO65000;359;2;2294,99;298,35;13;1996,64
SO65000;537;2;35;8,4;24;26,6
SO65000;528;2;4,99;0,1;2;4,89
SO65000;222;3;34,99;2,1;6;32,89
SO65000;234;2;49,99;5;10;44,99
SO65001;361;3;2294,99;275,4;12;2019,59
SO65001;478;1;9,99;0,6;6;9,39
SO65001;477;1;4,99;0,9;18;4,09
SO65001;487;2;54,99;3,85;7;51,14
SO65002;363;1;2294,99;573,75;25;1721,24
SO65002;478;3;9,99;2,2;22;7,79
SO65002;477;1;4,99;0,5;10;4,49
SO65002;487;2;54,99;12,1;22;42,89
SO65003;355;3;2319,99;556,8;24;1763,19
SO65003;537;1;35;4,55;13;30,45
SO65003;480;2;2,29;0,27;12;2,02
SO65003;484;2;7,95;1,43;18;6,52
SO65004;570;3;742,35;59,39;8;682,96
SO65004;225;2;8,99;0,54;6;8,45
SO65005;581;1;1700,99;170,1;10;1530,89
SO65006;580;1;1700,99;119,07;7;1581,92
SO65006;225;3;8,99;0,18;2;8,81
SO65006;491;3;53,99;5,94;11;48,05
SO65007;388;3;1120,49;100,84;9;1019,65
SO65007;490;3;53,99;9,72;18;44,27
SO65007;225;1;8,99;1,53;17;7,46
SO65008;384;2;1120,49;212,89;19;907,6
SO65008;214;2;34,99;1,05;3;33,94
SO65008;482;2;8,99;1,35;15;7,64
SO65009;378;3;2443,35;268,77;11;2174,58
SO65010;361;2;2294,99;321,3;14;1973,69
SO65011;225;2;8,99;2,07;23;6,92
SO65011;568;1;742,35;170,74;23;571,61
SO65012;562;2;2384,07;405,29;17;1978,78
SO65012;217;2;34,99;2,8;8;32,19
SO65013;564;1;2384,07;333,77;14;2050,3
SO65013;479;2;8,99;0,18;2;8,81
SO65013;477;1;4,99;0,75;15;4,24
SO65013;484;2;7,95;0,24;3;7,71
SO65014;563;2;2384,07;190,73;8;2193,34
SO65014;541;2;28,99;1,74;6;27,25
SO65014;530;2;4,99;0,5;10;4,49
SO65014;467;1;24,49;0,73;3;23,76
SO65015;573;2;2384,07;429,13;18;1954,94
SO65015;479;2;8,99;1,98;22;7,01
SO65015;477;2;4,99;0,25;5;4,74
SO65015;487;3;54,99;12,1;22;42,89
SO65016;584;2;539,99;27;5;512,99
SO65017;583;1;1700,99;306,18;18;1394,81
SO65017;234;2;49,99;3,5;7;46,49
SO65017;465;2;24,49;5,63;23;18,86
SO65018;604;3;539,99;48,6;9;491,39
SO65018;479;2;8,99;0,63;7;8,36
SO65018;477;2;4,99;0,8;16;4,19
SO65018;217;3;34,99;2,45;7;32,54
SO65019;605;2;539,99;129,6;24;410,39
SO65019;479;3;8,99;1,35;15;7,64
SO65019;477;3;4,99;1;20;3,99
SO65020;579;2;1214,85;72,89;6;1141,96
SO65020;214;2;34,99;3,5;10;31,49
SO65021;359;3;2294,99;275,4;12;2019,59
SO65021;222;3;34,99;2,1;6;32,89
SO65022;535;1;24,99;2,25;9;22,74
