ORDERKEY;ORDERDATE;DELIVERYDATE;CUSTOMERKEY;CHANNELKEY;PAYMENTMETHODKEY;DELIVERYMETHODKEY;COUNTRYKEY;DELIVERYCOST;ORDERSTATUSKEY
SO63476;03-02-2020;10-02-2020;23999;1;3;4;8;6,3;4
SO63477;03-02-2020;10-02-2020;24003;1;3;3;6;6,62;4
SO63478;03-02-2020;10-02-2020;29098;1;3;2;6;5,96;4
SO63479;03-02-2020;10-02-2020;25032;2;1;2;2;1,86;4
SO63480;03-02-2020;10-02-2020;25243;2;4;1;9;0;4
SO63481;03-02-2020;10-02-2020;14224;2;2;4;9;5,9;4
SO63482;03-02-2020;10-02-2020;18193;1;1;1;9;8,46;4
SO63483;03-02-2020;10-02-2020;11999;1;3;1;9;8,31;4
SO63484;03-02-2020;10-02-2020;11996;2;1;2;3;4,08;4
SO63485;03-02-2020;10-02-2020;14063;1;1;4;9;5,83;4
SO63486;03-02-2020;10-02-2020;26622;2;3;3;1;2,36;4
SO63487;03-02-2020;10-02-2020;24770;1;1;1;4;7,58;4
SO63488;03-02-2020;10-02-2020;23699;1;3;1;4;4,71;4
SO63489;03-02-2020;10-02-2020;23270;1;1;2;4;9,4;4
SO63490;03-02-2020;10-02-2020;20674;1;4;1;1;7,73;4
SO63491;03-02-2020;10-02-2020;20675;1;2;2;1;0;4
SO63492;03-02-2020;10-02-2020;20653;2;3;4;4;0;4
SO63493;03-02-2020;10-02-2020;11394;1;4;2;8;7,61;4
SO63494;03-02-2020;10-02-2020;11398;2;3;2;3;4,59;4
SO63495;03-02-2020;10-02-2020;17221;2;1;1;10;5,31;4
SO63496;03-02-2020;10-02-2020;15691;1;3;3;9;5,02;4
SO63497;04-02-2020;11-02-2020;11185;2;4;1;2;6,63;4
SO63498;04-02-2020;11-02-2020;11287;2;1;4;10;3,12;4
SO63499;04-02-2020;11-02-2020;17073;2;2;1;10;9,64;4
SO63500;04-02-2020;11-02-2020;12715;2;2;4;7;2,94;4
SO63501;04-02-2020;11-02-2020;18492;2;4;4;2;2,42;4
SO63502;04-02-2020;11-02-2020;16683;2;4;3;9;0;4
SO63503;04-02-2020;11-02-2020;22313;1;3;4;10;2,05;4
SO63504;04-02-2020;11-02-2020;13575;1;3;1;10;8,06;4
SO63505;04-02-2020;11-02-2020;14192;2;4;4;6;2,63;4
SO63506;04-02-2020;11-02-2020;16585;1;1;1;7;2,81;4
SO63507;04-02-2020;11-02-2020;12095;2;4;1;4;8,03;4
SO63508;04-02-2020;11-02-2020;12117;1;2;2;1;4,18;4
SO63509;04-02-2020;11-02-2020;29006;2;4;3;1;2,88;4
SO63510;04-02-2020;11-02-2020;11632;1;1;2;9;8,69;4
SO63511;04-02-2020;11-02-2020;27503;2;1;4;3;9,1;4
SO63512;04-02-2020;11-02-2020;25355;2;3;1;1;5,35;4
SO63513;04-02-2020;11-02-2020;27618;1;1;2;1;1,06;4
SO63514;04-02-2020;11-02-2020;15564;2;3;3;8;7,04;4
SO63515;04-02-2020;11-02-2020;26550;1;2;4;1;1,59;4
SO63516;04-02-2020;11-02-2020;11091;2;2;2;8;0;4
SO63517;04-02-2020;11-02-2020;22725;1;3;1;1;3,94;4
SO63518;04-02-2020;11-02-2020;23740;1;3;1;4;2,35;4
SO63519;04-02-2020;11-02-2020;21767;1;1;2;4;6,14;4
SO63520;04-02-2020;11-02-2020;18874;1;3;1;1;1,66;4
SO63521;04-02-2020;11-02-2020;18417;2;4;1;4;4,64;4
SO63522;04-02-2020;11-02-2020;16905;1;4;1;4;7,05;4
SO63523;04-02-2020;11-02-2020;15919;2;2;1;6;6,51;4
SO63524;04-02-2020;11-02-2020;21860;1;2;2;9;4,4;4
SO63525;04-02-2020;11-02-2020;19250;1;4;3;9;9,36;4
SO63526;04-02-2020;11-02-2020;17884;1;1;2;3;9,2;4
SO63527;04-02-2020;11-02-2020;19492;2;4;2;3;8,83;4
SO63528;04-02-2020;11-02-2020;12726;2;3;3;7;9,08;4
SO63529;04-02-2020;11-02-2020;28453;2;2;4;7;1,97;4
SO63530;04-02-2020;11-02-2020;15340;1;3;1;6;8,27;4
SO63531;04-02-2020;11-02-2020;19814;1;4;2;4;7,52;4
SO63532;04-02-2020;11-02-2020;15482;1;1;4;4;0;4
SO63533;04-02-2020;11-02-2020;12755;2;2;1;4;1,4;4
SO63534;04-02-2020;11-02-2020;15097;1;1;4;8;1,93;4
SO63535;04-02-2020;11-02-2020;17199;2;2;1;10;8,7;4
SO63536;04-02-2020;11-02-2020;23539;2;2;1;9;3,61;4
SO63537;04-02-2020;11-02-2020;23593;1;2;1;7;0;4
SO63538;04-02-2020;11-02-2020;14216;1;4;2;7;7,6;4
SO63539;04-02-2020;11-02-2020;14058;2;1;4;8;5,18;4
SO63540;04-02-2020;11-02-2020;26106;2;4;2;4;1,31;4
SO63541;04-02-2020;11-02-2020;26339;2;1;4;1;5,06;4
SO63542;04-02-2020;11-02-2020;23318;2;3;4;4;0;4
SO63543;04-02-2020;11-02-2020;23081;1;2;2;4;9,1;4
SO63544;04-02-2020;11-02-2020;17620;1;2;3;1;6,06;4
SO63545;04-02-2020;11-02-2020;27796;1;2;1;8;2,24;4
SO63546;04-02-2020;11-02-2020;11420;2;4;1;3;3,4;4
SO63547;04-02-2020;11-02-2020;11910;2;3;1;6;5,37;4
SO63548;04-02-2020;11-02-2020;27878;2;3;2;9;0;4
SO63549;04-02-2020;11-02-2020;12002;2;4;2;8;7,03;4
SO63550;04-02-2020;11-02-2020;12339;2;4;1;8;6,63;4
SO63551;05-02-2020;12-02-2020;11176;2;2;2;7;8,27;4
SO62008;13-01-2020;20-01-2020;24505;1;4;1;8;5,98;4
SO62009;13-01-2020;20-01-2020;13647;2;4;4;10;2,22;4
SO62010;13-01-2020;20-01-2020;13649;2;4;2;8;2,21;4
SO62011;13-01-2020;20-01-2020;23819;1;2;2;6;2,3;4
SO62012;13-01-2020;20-01-2020;25943;1;2;3;4;4,74;4
SO62013;13-01-2020;20-01-2020;22234;1;4;3;10;5,37;4
SO62014;13-01-2020;20-01-2020;25979;2;4;2;1;7,47;4
SO62015;13-01-2020;20-01-2020;20437;1;2;1;4;3,78;4
SO62016;13-01-2020;20-01-2020;20145;1;3;4;8;5,84;4
SO62017;13-01-2020;20-01-2020;12807;1;1;1;8;5,28;4
SO62018;13-01-2020;20-01-2020;11906;2;1;2;9;1,32;4
SO62019;13-01-2020;20-01-2020;14224;2;3;1;2;8,23;4
SO62020;13-01-2020;20-01-2020;11767;1;4;1;9;1,64;4
SO62021;13-01-2020;20-01-2020;23100;1;4;2;9;5,01;4
SO62022;14-01-2020;21-01-2020;11507;2;1;3;10;1,03;4
SO62023;14-01-2020;21-01-2020;11370;2;4;3;6;7,74;4
SO62024;14-01-2020;21-01-2020;22177;1;3;4;2;1,67;4
SO62025;14-01-2020;21-01-2020;18727;2;4;3;8;7,33;4
SO62026;14-01-2020;21-01-2020;17061;1;3;4;8;8,63;4
SO62027;14-01-2020;21-01-2020;15146;2;2;3;10;1,15;4
SO62028;14-01-2020;21-01-2020;14665;1;2;4;6;4,35;4
SO62029;14-01-2020;21-01-2020;17327;1;1;4;10;8,45;4
SO62030;14-01-2020;21-01-2020;14516;2;2;1;9;8,3;4
SO62031;14-01-2020;21-01-2020;19626;1;4;2;7;5,85;4
SO62032;14-01-2020;21-01-2020;21679;1;1;4;6;5,34;4
SO62033;14-01-2020;21-01-2020;15624;1;4;3;9;3,09;4
SO62034;14-01-2020;21-01-2020;15085;1;1;2;7;7,16;4
SO62035;14-01-2020;21-01-2020;14428;2;2;2;8;9,67;4
SO62036;14-01-2020;21-01-2020;11142;2;1;1;9;7,08;4
SO62037;14-01-2020;21-01-2020;28187;1;4;2;4;6,83;4
SO62038;14-01-2020;21-01-2020;26516;1;3;3;4;5,6;4
SO62039;14-01-2020;21-01-2020;24512;1;1;3;4;6,79;4
SO62040;14-01-2020;21-01-2020;12196;1;2;4;3;6,75;4
SO62041;14-01-2020;21-01-2020;17371;1;2;4;8;8,7;4
SO62042;14-01-2020;21-01-2020;24624;2;3;3;4;9,92;4
SO62043;14-01-2020;21-01-2020;23693;1;4;4;4;2,43;4
SO62044;14-01-2020;21-01-2020;14370;1;2;4;2;1,28;4
SO62045;14-01-2020;21-01-2020;14091;2;3;1;3;4,06;4
SO62046;14-01-2020;21-01-2020;19715;1;4;4;4;8,13;4
SO62047;14-01-2020;21-01-2020;16910;1;1;4;10;9,44;4
SO62048;14-01-2020;21-01-2020;19011;1;1;4;4;0;4
SO62049;14-01-2020;21-01-2020;17547;1;3;4;4;9,57;4
SO62050;14-01-2020;21-01-2020;14729;1;3;3;4;9,22;4
SO62051;14-01-2020;21-01-2020;22144;2;3;2;8;5,49;4
SO62052;14-01-2020;21-01-2020;17213;2;1;1;7;4,49;4
SO62053;14-01-2020;21-01-2020;16584;2;2;4;9;4,03;4
SO62054;14-01-2020;21-01-2020;17712;1;3;1;9;8,59;4
SO62055;14-01-2020;21-01-2020;19306;2;1;1;3;8,39;4
SO62056;14-01-2020;21-01-2020;11545;2;4;4;8;3,62;4
SO62057;14-01-2020;21-01-2020;22390;1;1;4;7;8,51;4
SO62058;14-01-2020;21-01-2020;23221;2;1;4;9;6,99;4
SO62059;14-01-2020;21-01-2020;18619;1;2;3;9;0;4
SO62060;14-01-2020;21-01-2020;28879;1;3;1;8;7,76;4
SO62061;14-01-2020;21-01-2020;22556;2;2;3;3;3,04;4
SO62062;14-01-2020;21-01-2020;11174;2;3;4;4;7,24;4
SO62063;14-01-2020;21-01-2020;16731;2;2;2;2;9,9;4
SO62064;14-01-2020;21-01-2020;13444;1;3;1;4;0;4
SO62065;14-01-2020;21-01-2020;12236;2;3;3;9;8,46;4
SO62066;14-01-2020;21-01-2020;14617;1;1;2;1;6,85;4
SO62067;14-01-2020;21-01-2020;13029;1;1;2;1;2,42;4
SO62068;14-01-2020;21-01-2020;19735;1;3;1;4;7,65;4
SO62069;14-01-2020;21-01-2020;14656;2;2;1;1;9,72;4
SO62070;14-01-2020;21-01-2020;12109;2;4;1;1;6,18;4
SO62071;14-01-2020;21-01-2020;14501;1;3;2;4;4,83;4
SO62072;14-01-2020;21-01-2020;14461;2;2;3;1;3,9;4
SO62073;14-01-2020;21-01-2020;12033;1;3;1;1;8,4;4
SO62074;14-01-2020;21-01-2020;28500;2;2;2;8;7,1;4
SO62075;14-01-2020;21-01-2020;19325;2;1;3;9;7,49;4
SO62076;14-01-2020;21-01-2020;20258;1;1;4;6;8,9;4
SO62077;14-01-2020;21-01-2020;13129;2;3;3;10;9,22;4
SO62078;14-01-2020;21-01-2020;11992;2;3;1;9;2,56;4
SO62079;14-01-2020;21-01-2020;13645;1;3;4;8;5,52;4
SO62080;14-01-2020;21-01-2020;23257;2;4;1;4;9,14;4
SO62081;14-01-2020;21-01-2020;23266;1;3;1;1;2,49;4
SO62082;14-01-2020;21-01-2020;22788;2;1;2;4;6,25;4
SO62083;14-01-2020;21-01-2020;27798;1;3;4;10;8,06;4
SO62084;14-01-2020;21-01-2020;11903;1;4;4;6;6,72;4
SO62085;14-01-2020;21-01-2020;11465;1;2;1;10;4,92;4
SO62086;14-01-2020;21-01-2020;22582;2;1;4;9;3,19;4
SO62087;14-01-2020;21-01-2020;22583;1;1;2;6;5,64;4
SO62088;15-01-2020;22-01-2020;11277;2;3;4;9;3,24;4
SO62089;15-01-2020;22-01-2020;11505;2;4;4;6;7,89;4
SO62090;15-01-2020;22-01-2020;14056;2;4;4;10;0;4
SO62091;15-01-2020;22-01-2020;17060;1;3;3;10;1,38;4
SO62092;15-01-2020;22-01-2020;16177;1;2;1;9;9,68;4
SO62093;15-01-2020;22-01-2020;21998;2;1;2;3;4,64;4
SO62094;15-01-2020;22-01-2020;17236;1;3;2;9;0;4
SO62095;15-01-2020;22-01-2020;13003;1;3;4;9;8,28;4
SO62096;15-01-2020;22-01-2020;21067;1;4;3;7;3,57;4
SO62097;15-01-2020;22-01-2020;15695;2;3;1;2;4,56;4
SO62098;15-01-2020;22-01-2020;29009;2;4;3;4;3,1;4
SO62099;15-01-2020;22-01-2020;26794;2;4;2;1;0;4
SO62100;15-01-2020;22-01-2020;26254;1;3;1;1;4,62;4
SO62101;15-01-2020;22-01-2020;26079;2;4;4;1;5,96;4
SO62102;15-01-2020;22-01-2020;23734;2;3;2;1;5,89;4
SO62103;15-01-2020;22-01-2020;23054;2;2;2;1;5,7;4
SO62104;15-01-2020;22-01-2020;24978;1;1;3;1;6,25;4
SO62105;15-01-2020;22-01-2020;15863;1;4;3;10;6,55;4
SO62106;15-01-2020;22-01-2020;18600;2;4;1;3;8,52;4
SO62107;15-01-2020;22-01-2020;21346;2;3;2;4;4,83;4
SO62108;15-01-2020;22-01-2020;21353;1;2;1;1;9,27;4
SO62109;15-01-2020;22-01-2020;19882;2;1;1;4;9,03;4
SO62110;15-01-2020;22-01-2020;11632;1;2;1;8;3,2;4
SO62111;15-01-2020;22-01-2020;17689;1;4;2;1;2,86;4
SO62112;15-01-2020;22-01-2020;24627;1;4;1;7;1,28;4
SO62113;15-01-2020;22-01-2020;18061;1;1;2;4;5,72;4
SO62114;15-01-2020;22-01-2020;22285;1;1;1;10;7,57;4
SO62115;15-01-2020;22-01-2020;21726;2;4;3;2;2,9;4
SO62116;15-01-2020;22-01-2020;21631;1;3;3;8;6,59;4
SO62117;15-01-2020;22-01-2020;13656;2;4;1;4;3,66;4
SO62118;15-01-2020;22-01-2020;17222;2;4;1;7;6,74;4
SO62119;15-01-2020;22-01-2020;16507;2;4;2;3;9,49;4
SO62120;15-01-2020;22-01-2020;24535;1;3;3;9;6,14;4
SO62121;15-01-2020;22-01-2020;29377;2;2;3;7;8,16;4
SO62122;15-01-2020;22-01-2020;23969;2;2;1;2;9,74;4
SO62123;15-01-2020;22-01-2020;29416;1;1;2;8;2,84;4
SO62124;15-01-2020;22-01-2020;24871;1;3;1;6;2,94;4
SO62125;15-01-2020;22-01-2020;11211;2;2;2;8;6,66;4
SO62126;15-01-2020;22-01-2020;12636;2;1;1;9;1,37;4
SO62127;15-01-2020;22-01-2020;11248;2;3;4;3;6,93;4
SO62128;15-01-2020;22-01-2020;14590;1;3;4;4;1,92;4
SO62129;15-01-2020;22-01-2020;15986;2;3;4;4;6,35;4
SO62130;15-01-2020;22-01-2020;22117;2;1;2;2;1,27;4
SO62131;15-01-2020;22-01-2020;19714;2;3;2;4;1,94;4
SO62132;15-01-2020;22-01-2020;19718;1;3;3;1;2,13;4
SO62133;15-01-2020;22-01-2020;14400;2;1;4;4;3,19;4
SO62134;15-01-2020;22-01-2020;28695;2;4;2;2;2,12;4
SO62135;15-01-2020;22-01-2020;11333;2;2;3;8;9,78;4
SO62136;15-01-2020;22-01-2020;17181;2;1;3;6;3,65;4
SO62137;15-01-2020;22-01-2020;23534;2;4;4;9;1,94;4
SO62138;15-01-2020;22-01-2020;13527;1;4;1;2;3,9;4
SO62139;15-01-2020;22-01-2020;17354;2;3;1;10;1,31;4
SO62140;15-01-2020;22-01-2020;17351;2;2;4;9;2,4;4
SO62141;15-01-2020;22-01-2020;24485;1;3;1;6;6,14;4
SO62142;15-01-2020;22-01-2020;13128;1;1;1;9;2,92;4
SO62143;15-01-2020;22-01-2020;13632;2;2;1;7;4,47;4
SO62144;15-01-2020;22-01-2020;13953;1;4;1;9;0;4
SO62145;15-01-2020;22-01-2020;13637;2;1;4;8;5,47;4
SO62146;15-01-2020;22-01-2020;25840;1;1;2;4;5,83;4
SO62147;15-01-2020;22-01-2020;26616;2;3;1;1;5,71;4
SO62148;15-01-2020;22-01-2020;22247;2;3;3;2;1,43;4
SO62149;15-01-2020;22-01-2020;23239;1;3;2;4;0;4
SO62150;15-01-2020;22-01-2020;23195;2;4;4;1;0;4
SO62151;15-01-2020;22-01-2020;20395;2;1;1;4;0;4
SO62152;15-01-2020;22-01-2020;27121;1;4;1;10;2,01;4
SO62153;15-01-2020;22-01-2020;23898;1;3;2;2;3,16;4
SO62154;15-01-2020;22-01-2020;17229;1;1;3;6;7,05;4
SO62155;15-01-2020;22-01-2020;14308;1;1;3;8;3,38;4
SO62156;15-01-2020;22-01-2020;11768;1;2;1;3;5,95;4
SO62157;15-01-2020;22-01-2020;23099;2;1;4;8;9,16;4
SO62158;16-01-2020;23-01-2020;12894;2;4;4;4;5,4;4
SO62159;16-01-2020;23-01-2020;11223;1;2;1;7;1,77;4
SO62160;16-01-2020;23-01-2020;14307;1;2;1;2;6,15;4
SO62161;16-01-2020;23-01-2020;17061;1;1;4;8;1,51;4
SO62162;16-01-2020;23-01-2020;22204;1;1;2;9;3,92;4
SO62163;16-01-2020;23-01-2020;24897;1;4;3;9;2,75;4
SO62164;16-01-2020;23-01-2020;22859;2;2;1;8;0;4
SO62165;16-01-2020;23-01-2020;28951;1;3;2;10;2,85;4
SO62166;16-01-2020;23-01-2020;15240;2;3;1;3;2,94;4
SO62167;16-01-2020;23-01-2020;17283;2;3;2;7;6,75;4
SO62168;16-01-2020;23-01-2020;13954;2;2;1;8;0;4
SO62169;16-01-2020;23-01-2020;18247;2;1;2;10;7,47;4
SO62170;16-01-2020;23-01-2020;11150;2;1;3;7;4,93;4
SO62171;16-01-2020;23-01-2020;14123;2;2;2;10;4,13;4
SO62172;16-01-2020;23-01-2020;17787;1;1;3;7;4,28;4
SO62173;16-01-2020;23-01-2020;11420;2;4;4;9;7,61;4
SO62174;16-01-2020;23-01-2020;22311;2;2;1;6;8,2;4
SO62175;16-01-2020;23-01-2020;17782;2;3;3;10;0;4
SO62176;16-01-2020;23-01-2020;17873;1;3;1;8;5,43;4
SO62177;16-01-2020;23-01-2020;15357;2;3;3;8;4,89;4
SO62178;16-01-2020;23-01-2020;12211;2;4;4;2;4,34;4
SO62179;16-01-2020;23-01-2020;11646;2;1;3;1;4,25;4
SO62180;16-01-2020;23-01-2020;28776;2;3;3;4;1,63;4
SO62181;16-01-2020;23-01-2020;28855;2;1;2;4;2,08;4
SO62182;16-01-2020;23-01-2020;27391;2;1;4;1;7,48;4
SO62183;16-01-2020;23-01-2020;27506;1;4;4;4;5,1;4
SO62184;16-01-2020;23-01-2020;26451;2;4;3;1;2,41;4
SO62185;16-01-2020;23-01-2020;26583;2;3;1;4;4,7;4
SO62186;16-01-2020;23-01-2020;27474;2;4;1;1;4,74;4
SO62187;16-01-2020;23-01-2020;26679;1;4;3;1;8,44;4
SO62188;16-01-2020;23-01-2020;14370;2;2;4;3;4,28;4
SO62189;16-01-2020;23-01-2020;23191;2;3;4;1;1,36;4
SO62190;16-01-2020;23-01-2020;16247;2;4;4;6;3,48;4
SO62191;16-01-2020;23-01-2020;20635;1;1;2;1;7,66;4
SO62192;16-01-2020;23-01-2020;21612;2;3;3;1;0;4
SO62193;16-01-2020;23-01-2020;17422;2;2;4;10;4,68;4
SO62194;16-01-2020;23-01-2020;13350;2;4;1;8;2,91;4
SO62195;16-01-2020;23-01-2020;17577;1;3;4;4;9,02;4
SO62196;16-01-2020;23-01-2020;16356;2;1;2;4;3,74;4
SO62197;16-01-2020;23-01-2020;15837;2;2;4;1;4,49;4
SO62198;16-01-2020;23-01-2020;19801;1;3;1;3;6,12;4
SO62199;16-01-2020;23-01-2020;12752;2;2;3;9;2,04;4
SO62200;16-01-2020;23-01-2020;26216;2;1;1;2;0;4
SO62201;16-01-2020;23-01-2020;23772;1;1;3;8;6,65;4
SO62202;16-01-2020;23-01-2020;11434;1;2;1;2;0;4
SO62203;16-01-2020;23-01-2020;12633;1;1;2;7;4,11;4
SO62204;16-01-2020;23-01-2020;28748;2;4;4;8;4,23;4
SO62205;16-01-2020;23-01-2020;16511;1;2;1;8;3,73;4
SO62206;16-01-2020;23-01-2020;11258;1;2;1;4;2,85;4
SO62207;16-01-2020;23-01-2020;14904;1;4;3;7;7,43;4
SO62208;16-01-2020;23-01-2020;13206;2;1;2;9;5,61;4
SO62209;16-01-2020;23-01-2020;15974;1;4;3;10;3,17;4
SO62210;16-01-2020;23-01-2020;18942;1;1;1;4;7,28;4
SO62211;16-01-2020;23-01-2020;14639;2;3;3;4;0;4
SO62212;16-01-2020;23-01-2020;14589;2;3;1;4;1,96;4
SO62213;16-01-2020;23-01-2020;19736;2;2;1;4;8,78;4
SO62214;16-01-2020;23-01-2020;19721;2;3;3;1;0;4
SO62215;16-01-2020;23-01-2020;14191;1;3;2;8;5,2;4
SO62216;16-01-2020;23-01-2020;26963;1;1;3;9;3,08;4
SO62217;16-01-2020;23-01-2020;23432;2;3;3;9;3,09;4
SO62218;16-01-2020;23-01-2020;20613;2;4;2;7;6,87;4
SO62219;16-01-2020;23-01-2020;25234;1;4;2;6;8,6;4
SO62220;16-01-2020;23-01-2020;13115;2;4;2;3;7,19;4
SO62221;16-01-2020;23-01-2020;13131;1;1;2;10;4,55;4
SO62222;16-01-2020;23-01-2020;11031;2;4;4;10;7,51;4
SO62223;16-01-2020;23-01-2020;25421;1;4;4;1;4,53;4
SO62224;16-01-2020;23-01-2020;26617;1;4;4;4;7,72;4
SO62225;16-01-2020;23-01-2020;26058;2;4;3;4;8,43;4
SO62226;16-01-2020;23-01-2020;19681;2;2;3;8;5,81;4
SO62227;16-01-2020;23-01-2020;17025;1;1;1;7;7,97;4
SO62228;16-01-2020;23-01-2020;20059;2;4;4;3;1,26;4
SO62229;16-01-2020;23-01-2020;23226;1;3;4;10;7,22;4
SO62230;16-01-2020;23-01-2020;14346;1;1;1;7;3,27;4
SO62231;16-01-2020;23-01-2020;23102;1;3;4;6;1,88;4
SO62232;16-01-2020;23-01-2020;23321;2;3;1;10;8,31;4
SO62233;17-01-2020;24-01-2020;11949;2;3;1;4;1,1;4
SO62234;17-01-2020;24-01-2020;15593;1;2;1;8;8,72;4
SO62235;17-01-2020;24-01-2020;12012;1;2;3;3;5,9;4
SO62236;17-01-2020;24-01-2020;26759;2;3;3;10;4,1;4
SO62237;17-01-2020;24-01-2020;21370;1;4;1;9;5,33;4
SO62238;17-01-2020;24-01-2020;18278;1;4;2;6;5,06;4
SO62239;17-01-2020;24-01-2020;11102;1;2;4;7;5,62;4
SO62240;17-01-2020;24-01-2020;22678;2;2;3;8;5,31;4
SO62241;17-01-2020;24-01-2020;24565;1;2;1;8;9,92;4
SO62242;17-01-2020;24-01-2020;17893;1;3;4;8;8,18;4
SO62243;17-01-2020;24-01-2020;12276;1;3;2;6;2,92;4
SO62244;17-01-2020;24-01-2020;14940;1;1;4;6;1,33;4
SO62245;17-01-2020;24-01-2020;11078;1;1;3;7;4,32;4
SO62246;17-01-2020;24-01-2020;11230;2;2;4;4;7,75;4
SO62247;17-01-2020;24-01-2020;11142;1;1;2;3;9,1;4
SO62248;17-01-2020;24-01-2020;11253;1;2;1;6;1,5;4
SO62249;17-01-2020;24-01-2020;26586;1;4;3;1;4,38;4
SO62250;17-01-2020;24-01-2020;23792;1;2;3;1;3,14;4
SO62251;17-01-2020;24-01-2020;12892;1;4;2;7;5,7;4
SO62252;17-01-2020;24-01-2020;23199;1;4;4;1;7,96;4
SO62253;17-01-2020;24-01-2020;11277;2;1;3;9;4,8;4
SO62254;17-01-2020;24-01-2020;21761;2;2;4;4;1,33;4
SO62255;17-01-2020;24-01-2020;15859;2;1;1;8;0;4
SO62256;17-01-2020;24-01-2020;11203;2;3;3;3;0;4
SO62257;17-01-2020;24-01-2020;20435;1;1;1;4;6,14;4
SO62258;17-01-2020;24-01-2020;13201;2;3;1;7;5,92;4
SO62259;17-01-2020;24-01-2020;17179;2;4;4;4;3,47;4
SO62260;17-01-2020;24-01-2020;15545;1;1;4;4;0;4
SO62261;17-01-2020;24-01-2020;19039;2;2;1;2;0;4
SO62262;17-01-2020;24-01-2020;14190;1;1;4;9;8,4;4
SO62263;17-01-2020;24-01-2020;21049;2;3;4;8;9,7;4
SO62264;17-01-2020;24-01-2020;21511;2;1;4;10;7,51;4
SO62265;17-01-2020;24-01-2020;21118;1;1;2;9;0;4
SO62266;17-01-2020;24-01-2020;25494;2;3;4;6;2,03;4
SO62267;17-01-2020;24-01-2020;11331;2;2;1;8;7,63;4
SO62268;17-01-2020;24-01-2020;11393;1;4;2;7;4,18;4
SO62269;17-01-2020;24-01-2020;13162;1;2;4;4;2,58;4
SO62270;17-01-2020;24-01-2020;14631;2;3;1;9;2,15;4
SO62271;17-01-2020;24-01-2020;14419;1;1;3;1;7,59;4
SO62272;17-01-2020;24-01-2020;15030;1;1;2;10;3,27;4
SO62273;17-01-2020;24-01-2020;20451;2;4;1;9;6,52;4
SO62274;17-01-2020;24-01-2020;17732;1;4;1;10;9,12;4
SO62275;17-01-2020;24-01-2020;25229;2;2;1;10;0;4
SO62276;17-01-2020;24-01-2020;12253;2;4;4;8;1,08;4
SO62277;17-01-2020;24-01-2020;13636;2;2;1;7;5,77;4
SO62278;17-01-2020;24-01-2020;25432;2;1;2;4;1,99;4
SO62279;17-01-2020;24-01-2020;25975;2;1;3;1;2,19;4
SO62280;17-01-2020;24-01-2020;17566;2;3;4;4;6,24;4
SO62281;17-01-2020;24-01-2020;22655;2;2;2;7;7,37;4
SO62282;17-01-2020;24-01-2020;14347;2;1;3;8;9,1;4
SO62283;17-01-2020;24-01-2020;14220;2;1;4;7;8,46;4
SO62284;17-01-2020;24-01-2020;22986;2;3;4;6;9,56;4
SO62285;18-01-2020;25-01-2020;13045;1;4;4;2;6,61;4
SO62286;18-01-2020;25-01-2020;24280;1;2;2;3;4,36;4
SO62287;18-01-2020;25-01-2020;15811;2;2;4;8;2,52;4
SO62288;18-01-2020;25-01-2020;21378;1;1;4;8;7,65;4
SO62289;18-01-2020;25-01-2020;12992;1;4;3;6;6,03;4
SO62290;18-01-2020;25-01-2020;28956;2;1;2;6;8,52;4
SO62291;18-01-2020;25-01-2020;26379;2;2;2;9;1,72;4
SO62292;18-01-2020;25-01-2020;16487;2;2;2;2;0;4
SO62293;18-01-2020;25-01-2020;17933;1;1;1;6;3,96;4
SO62294;18-01-2020;25-01-2020;24868;1;2;3;9;8,52;4
SO62295;18-01-2020;25-01-2020;15921;2;1;4;7;6,67;4
SO62296;18-01-2020;25-01-2020;11704;1;2;4;4;2,36;4
SO62297;18-01-2020;25-01-2020;28144;2;1;4;1;7,02;4
SO62298;18-01-2020;25-01-2020;26719;1;3;3;1;9,95;4
SO62299;18-01-2020;25-01-2020;29046;2;2;2;1;2,7;4
SO62300;18-01-2020;25-01-2020;26478;2;3;3;4;8,77;4
SO62301;18-01-2020;25-01-2020;25358;1;2;1;1;5,77;4
SO62302;18-01-2020;25-01-2020;27198;1;4;2;1;6,79;4
SO62303;18-01-2020;25-01-2020;19862;1;3;3;9;9,92;4
SO62304;18-01-2020;25-01-2020;22746;2;3;4;4;4,69;4
SO62305;18-01-2020;25-01-2020;23286;1;4;3;4;6,2;4
SO62306;18-01-2020;25-01-2020;21397;2;2;4;1;6,07;4
SO62307;18-01-2020;25-01-2020;18890;2;1;1;1;2,36;4
SO62308;18-01-2020;25-01-2020;27756;2;4;3;2;2,44;4
SO62309;18-01-2020;25-01-2020;19890;1;3;3;4;7,94;4
SO62310;18-01-2020;25-01-2020;14458;1;1;3;3;0;4
SO62311;18-01-2020;25-01-2020;18100;2;3;2;4;2,93;4
SO62312;18-01-2020;25-01-2020;20271;1;4;1;4;4,6;4
SO62313;18-01-2020;25-01-2020;20089;2;3;2;1;8,77;4
SO62314;18-01-2020;25-01-2020;19729;2;2;2;10;5,03;4
SO62315;18-01-2020;25-01-2020;14396;1;2;3;1;5,49;4
SO62316;18-01-2020;25-01-2020;13379;1;2;3;1;8,36;4
SO62317;18-01-2020;25-01-2020;16543;1;2;2;8;1,38;4
SO62318;18-01-2020;25-01-2020;19175;2;1;4;2;1,72;4
