PRODUCTKEY;PRODUCTCODE;PRODUCTNAME;PRODUCTSUBCATEGORYKEY
493;FR-T67Y-62;LL Touring Frame - Yellow, 62;16
494;FR-T98Y-46;HL Touring Frame - Yellow, 46;16
495;FR-T98Y-50;HL Touring Frame - Yellow, 50;16
496;FR-T98Y-54;HL Touring Frame - Yellow, 54;16
497;FR-T98U-46;HL Touring Frame - Blue, 46;16
498;FR-T98U-50;HL Touring Frame - Blue, 50;16
499;FR-T98U-54;HL Touring Frame - Blue, 54;16
500;FR-T98U-60;HL Touring Frame - Blue, 60;16
501;RD-2308;Rear Derailleur;9
502;FR-T67U-50;LL Touring Frame - Blue, 50;16
503;FR-T67U-54;LL Touring Frame - Blue, 54;16
504;FR-T67U-58;LL Touring Frame - Blue, 58;16
505;FR-T67U-62;LL Touring Frame - Blue, 62;16
506;FR-T67Y-44;LL Touring Frame - Yellow, 44;16
507;FR-T67Y-50;LL Touring Frame - Yellow, 50;16
508;FR-T67Y-54;LL Touring Frame - Yellow, 54;16
509;FR-T67Y-58;LL Touring Frame - Yellow, 58;16
510;FR-T67U-44;LL Touring Frame - Blue, 44;16
511;FR-M63S-40;ML Mountain Frame-W - Silver, 40;12
512;FR-M63S-42;ML Mountain Frame-W - Silver, 42;12
513;FR-M63S-46;ML Mountain Frame-W - Silver, 46;12
514;RB-9231;Rear Brakes;6
515;SE-M236;LL Mountain Seat/Saddle;15
516;SE-M798;ML Mountain Seat/Saddle;15
517;SE-M940;HL Mountain Seat/Saddle;15
518;SE-R581;LL Road Seat/Saddle;15
519;SE-R908;ML Road Seat/Saddle;15
520;SE-R995;HL Road Seat/Saddle;15
521;SE-T312;LL Touring Seat/Saddle;15
407;HB-R956-48;HL Road Handlebars, 48;4
408;HB-R957-50;HL Road Handlebars, 50;4
